AGD;Moreão;Gymnothorax Maderensis
AGK;Moreão Castanho;Gymnothorax Unicolor
AHN;Canário do Mar;Anthias Anthias
AKL;Bodião Vidrão;Acantholabrus Palloni
ALB;Atum voador;Thunnus alalunga
ALC;Celindra;Alepocephalus Bairdii
ALE;Alosa Cinzenta;Alosa Pseudoharengus
ALF;Imperadores Nep;Beryx Spp.
ALV;Tubarao Raposo;Alopias Vulpinus
AMB;Charuteiro Catarino;Seriola Dumerili
AMS;Artemia;Artemia Salina
AMX;Charuteiros Nep;Seriola Spp.
ANE;Biqueirão;Engraulis Encrasicholus
ANF;Tamboril-espinhoso;Lophiodes kempi
ANG;Tamboril americano;Lophius americanus
ANK;Tamboril Preto;Lophius Budegassa
ANK;Tamboril Preto;Lophius Budegassa
ANN;Sargo Alcorraz;Diplodus Annularis
APO;Alcarraz;Apogon Imberbis
APU;Esturjão;Acipenser Sturio
ARA;Camarão Vermelho;Aristeus Antennatus
ARA;Camarão Vermelho;Aristeus Antennatus
ARA;Camarão Vermelho;Aristeus Antennatus
ARG;Argentinas nep;Argentina spp.
ARS;Camarão Purpura;Aristaeomorpha Foliacea
ARV;Camarão vermelho listado;Aristeus varidens
ASD;Savel;Alosa Alosa
ASK;Anjos nep;Squatina spp
ATP;Peixes Rei nep;Atherina spp
AUU;Castanheta Preta;Abudefduf Luridus
BAR;Bicudas nep;Sphyraena spp.
BAR;Bicuda de Cabo Verde;Sphyraena Viridescens
BAS;Serranos Nep;Serranus Spp.
BAS;Serranos Nep;Serranus Spp.
BAS;Serrano De Rolo;Serranus Atricauda
BBH;Alosa Azul;Alosa Aestivalis
BET;Atum patudo;Thunnus obesus
BFT;Atum rabilho;Thunnus thynnus
BGR;Roncador Bravura;Pomadasys Incisus
BHD;Charrocos nep;Halobatrachus didactylus
BIB;Faneca;Trisopterus Luscus
BIL;Espadins Nep;Istiophoridae
BLB;Pampo;Stromateus fiatola
BLI;Donzela Azul;Molva dypterygia
BLL;Rodovalho;Scophthalmus Rhombus
BLM;Espadim Negro;Makaira Indica
BLT;Judeu;Auxis Rochei
BLU;Anchova;Pomatomus Saltatrix
BOA;Galucha;Ethmalosa Fimbriata
BOC;Pimpim;Capros Aper
BOG;Boga do Mar;Boops Boops
BON;Sarrajão;Sarda sarda
BOP;Palometa;Orcynopsis Unicolor
BOY;Buzio Canilha;Bolinus Brandaris
BRB;Choupa;Spondyliosoma Cantharus
BRF;Cantarilho Legitimo;Helicolenus Dactylopterus
BSC;Pargo Ruço;Pagrus Caeruleostictus
BSE;Robalos Nep;Dicentrarchus Spp.
BSF;Peixe Espada Preto;Aphanopus Carbo
BSF;Peixe Espada Preto;Aphanopus Carbo
BSH;Tintureira;Prionace Glauca
BSK;Tubarão Frade;Cetorhinus Maximus
BSS;Robalo Legitimo;Dicentrarchus Labrax
BTH;Tubarão Raposo Olhudo;Alopias Superciliosus
BUM;Espadim Azul do Atlântico;Makaira Nigricans
BUR;Roncador de Pintas;Pomadasys Jubelini
